#,name,date_of_birth,age_on_2026-08-17,public_role,source_url,source_type,rights_note
1,Marileidy Paulino,1996-10-25,29,Sprinter,https://commons.wikimedia.org/wiki/File:Marileidy_Paulino_Oregon_2022.jpg,Wikimedia Commons,Check the linked Wikimedia Commons file/page for exact license and attribution.
2,Tokischa,1996-03-17,30,Rapper / singer,https://commons.wikimedia.org/wiki/File:Tokischa_2021.jpg,Wikimedia Commons,Check the linked Wikimedia Commons file/page for exact license and attribution.
3,Fiordaliza Cofil,2000-10-27,25,Sprinter,https://commons.wikimedia.org/wiki/File:Fiordaliza_Cofil_Oregon_2022_(cropped).jpg,Wikimedia Commons,Check the linked Wikimedia Commons file/page for exact license and attribution.
4,Lineisy Montero,1996-02-08,30,Fashion model,https://commons.wikimedia.org/wiki/File:Lineisy_Montero_Paris_Fashion_Week_Autumn_Winter_2019.jpg,Wikimedia Commons,Check the linked Wikimedia Commons file/page for exact license and attribution.
5,Andreína Martínez,1997-09-22,28,Model / pageant titleholder,https://commons.wikimedia.org/wiki/File:Andre%C3%ADna_Mart%C3%ADnez_01.jpg,Wikimedia Commons,Check the linked Wikimedia Commons file/page for exact license and attribution.
6,Yailín La Más Viral,2002-07-04,24,Rapper / singer,https://commons.wikimedia.org/wiki/File:Yailin_La_Mas_Viral.jpg,Wikimedia Commons,Check the linked Wikimedia Commons file/page for exact license and attribution.
7,Nairoby Abigail Jiménez,2000-10-22,25,Badminton player,https://commons.wikimedia.org/wiki/File:2018-10-12_Badminton_Mixed_International_Team_Bronze_medal_match_6_at_2018_Summer_Youth_Olympics_by_Sandro_Halank%E2%80%93003.jpg,Wikimedia Commons,Check the linked Wikimedia Commons file/page for exact license and attribution.
8,Emily Tosta,1998-03-26,28,Actress,https://commons.wikimedia.org/wiki/File:Emily_tosta_2023_2.png,Wikimedia Commons,Check the linked Wikimedia Commons file/page for exact license and attribution.
9,Elibeidy Dani,1997-05-06,29,Fashion model,"https://commons.wikimedia.org/wiki/File:Elibeidy_Dani,_Prada_FW_2017_Men%27s_%26_Women%27s.jpg",Wikimedia Commons,Check the linked Wikimedia Commons file/page for exact license and attribution.
10,Chelsy Bautista,1997-01-25,29,Singer / actress,https://commons.wikimedia.org/wiki/File:Chelsy_Bautista.png,Wikimedia Commons,Check the linked Wikimedia Commons file/page for exact license and attribution.
