index,name,status,source_page,image_url,detector,score,face_count,sha256
1,Marileidy Paulino,replacement,https://commons.wikimedia.org/wiki/File:Marileidy_Paulino_Oregon_2022.jpg,https://upload.wikimedia.org/wikipedia/commons/3/35/Marileidy_Paulino_Oregon_2022.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original,yunet@180,0.8653,1,22f1b81202d70c17c1cade50175c92595a3d45dc595e13fcbaf4db0baf6ebad4
2,Tokischa,replacement,https://commons.wikimedia.org/wiki/File:Tokischa_2021.jpg,https://upload.wikimedia.org/wikipedia/commons/c/ce/Tokischa_2021.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original,yunet@0,0.7806,1,7dcc94871e57c5530584856f5e349bf6b3fb23aa7c278abdd31e325879535071
3,Fiordaliza Cofil,replacement,https://commons.wikimedia.org/wiki/File:Fiordaliza_Cofil_Oregon_2022_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/e/e3/Fiordaliza_Cofil_Oregon_2022_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original,yunet@0,0.9369,2,a22cadadde88eed88050af393c3d5ac9f917f78845471bcb156538d42fcb04be
4,Lineisy Montero,replacement,https://commons.wikimedia.org/wiki/File:Lineisy_Montero_Paris_Fashion_Week_Autumn_Winter_2019.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5e/Lineisy_Montero_Paris_Fashion_Week_Autumn_Winter_2019.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original,yunet@0,0.8153,1,bbcab66ac46818d5d36af15266f998b4f34b7a361933fa0bc85d4b8f2b87e95f
5,Andreína Martínez,replacement,https://commons.wikimedia.org/wiki/File:Andre%C3%ADna_Mart%C3%ADnez_01.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3e/Andre%C3%ADna_Mart%C3%ADnez_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original,yunet@0,0.9258,1,071651d20befc216d405791fe9ad26f7460615abdad971781400eb7d72cbe2f1
6,Yailín La Más Viral,replacement,https://commons.wikimedia.org/wiki/File:Yailin_La_Mas_Viral.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9a/Yailin_La_Mas_Viral.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original,yunet@0,0.9085,2,e3fd3044ac66ab040db8d1a2dc36760b730aae348305d64930c647280c696e04
7,Nairoby Abigail Jiménez,replacement,https://commons.wikimedia.org/wiki/File:2018-10-12_Badminton_Mixed_International_Team_Bronze_medal_match_6_at_2018_Summer_Youth_Olympics_by_Sandro_Halank%E2%80%93003.jpg,https://upload.wikimedia.org/wikipedia/commons/5/58/2018-10-12_Badminton_Mixed_International_Team_Bronze_medal_match_6_at_2018_Summer_Youth_Olympics_by_Sandro_Halank%E2%80%93003.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original,yunet@0,0.9291,1,8ca08c8c78720b6b9e2bb844da9c6bb39cb896dce92f7d487280ce964ef8d538
8,Emily Tosta,replacement,https://commons.wikimedia.org/wiki/File:Emily_tosta_2023_2.png,https://upload.wikimedia.org/wikipedia/commons/7/71/Emily_tosta_2023_2.png?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original,yunet@0,0.9364,1,7152c875646add34782982ce43575d0badf9db0e370105c40a1f7c32aeb9baf0
9,Elibeidy Dani,replacement,"https://commons.wikimedia.org/wiki/File:Elibeidy_Dani,_Prada_FW_2017_Men%27s_%26_Women%27s.jpg",https://upload.wikimedia.org/wikipedia/commons/b/b0/Elibeidy_Dani%2C_Prada_FW_2017_Men%27s_%26_Women%27s.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original,yunet@0,0.9313,2,965bc8f695c34f584f4c42f01e12397d47504a22ff6b48edb42ada7ec3d144d9
10,Chelsy Bautista,replacement,https://commons.wikimedia.org/wiki/File:Chelsy_Bautista.png,https://upload.wikimedia.org/wikipedia/commons/8/81/Chelsy_Bautista.png?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original,yunet@0,0.8756,1,72a2bf07aa532f9ea597ce3b082164103635148af5f68b72e37f7377bb4a170e
11,Esmery Martinez,replacement,https://www.wnba.com/player/1642318/esmery-martinez,https://upload.wikimedia.org/wikipedia/commons/2/28/Esmery_Mart%C3%ADnez_8_Kocaeli_Kad%C4%B1n_Basketbol_20251108_%281%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,yunet@0,0.9350,2,51b5938bf9890149d4f13522eda817e16e97aed74c2cc95b71e14c36f000898b
