person_qid,person_url,person_label,gender_qid,gender_label,birth_date,birth_year,birthplace_qid,birthplace_label,region_qid,region,country,scope_tier,image_url,commons_filename,origin_basis,ancestry_verified,candidate_id,classification_status,face_count,confidence,dominant_bbox,dominant_landmarks,tested_rotations,selected_rotation,face_area_fraction,estimated_yaw,abs_yaw,view,pose_method,pose_metrics,pnp_yaw,pose_disagreement_deg,pose_uncertainty_reason,organized_filename,duplicate_of_candidate_id,reused_classification_candidate_id,classification_timestamp,resume_reused,package_asset,package_released
Q66738093,http://www.wikidata.org/entity/Q66738093,Alberto Tell,Q6581097,masculino,1955-01-01T00:00:00Z,1955,Q44217,San Salvador de Jujuy,Q44764,Jujuy,Argentina,core_lower_confidence,http://commons.wikimedia.org/wiki/Special:FilePath/Alberto%20Tell.png,Alberto Tell.png,Wikidata place of birth,False,MP000001,not_processed,,,,,,,,,,,,,,,,,,,,,,
Q15229412,http://www.wikidata.org/entity/Q15229412,Alejandra Oliveras,Q6581072,femenino,1978-03-20T00:00:00Z,1978,Q579869,El Carmen,Q44764,Jujuy,Argentina,core_lower_confidence,http://commons.wikimedia.org/wiki/Special:FilePath/Alejandra%20Locomotora%20Marina%20Oliveras.jpg,Alejandra Locomotora Marina Oliveras.jpg,Wikidata place of birth,False,MP000002,not_processed,,,,,,,,,,,,,,,,,,,,,,
Q21856277,http://www.wikidata.org/entity/Q21856277,Alejandro Francisco Snopek,Q6581097,masculino,1972-02-25T00:00:00Z,1972,Q44217,San Salvador de Jujuy,Q44764,Jujuy,Argentina,core_lower_confidence,http://commons.wikimedia.org/wiki/Special:FilePath/Alejandro%20Francisco%20Snopek.png,Alejandro Francisco Snopek.png,Wikidata place of birth,False,MP000003,not_processed,,,,,,,,,,,,,,,,,,,,,,
Q23907268,http://www.wikidata.org/entity/Q23907268,Alejandro Nieva,Q6581097,masculino,1958-04-05T00:00:00Z,1958,Q44217,San Salvador de Jujuy,Q44764,Jujuy,Argentina,core_lower_confidence,http://commons.wikimedia.org/wiki/Special:FilePath/AN%20colegio.jpg,AN colegio.jpg,Wikidata place of birth,False,MP000004,not_processed,,,,,,,,,,,,,,,,,,,,,,
Q70118092,http://www.wikidata.org/entity/Q70118092,Alejandro Snopek,Q6581097,masculino,1964-01-01T00:00:00Z,1964,Q44217,San Salvador de Jujuy,Q44764,Jujuy,Argentina,core_lower_confidence,http://commons.wikimedia.org/wiki/Special:FilePath/Alejandro%20Francisco%20Snopek.png,Alejandro Francisco Snopek.png,Wikidata place of birth,False,MP000005,not_processed,,,,,,,,,,,,,,,,,,,,,,
Q62118467,http://www.wikidata.org/entity/Q62118467,Alejandro Vilca,Q6581097,masculino,1976-07-05T00:00:00Z,1976,Q44217,San Salvador de Jujuy,Q44764,Jujuy,Argentina,core_lower_confidence,http://commons.wikimedia.org/wiki/Special:FilePath/Alejandro%20Vilca%20Somos%20Jujuy.png,Alejandro Vilca Somos Jujuy.png,Wikidata place of birth,False,MP000006,not_processed,,,,,,,,,,,,,,,,,,,,,,
Q296965,http://www.wikidata.org/entity/Q296965,Ariel Ortega,Q6581097,masculino,1974-03-04T00:00:00Z,1974,Q600706,Libertador General San Martín,Q44764,Jujuy,Argentina,core_lower_confidence,http://commons.wikimedia.org/wiki/Special:FilePath/Ariel%20Ortega%20%28cropped%29.jpg,Ariel Ortega (cropped).jpg,Wikidata place of birth,False,MP000007,not_processed,,,,,,,,,,,,,,,,,,,,,,
Q56250366,http://www.wikidata.org/entity/Q56250366,Camila Hiruela,Q6581072,femenino,1997-02-01T00:00:00Z,1997,Q44217,San Salvador de Jujuy,Q44764,Jujuy,Argentina,core_lower_confidence,http://commons.wikimedia.org/wiki/Special:FilePath/Camila%20Hiruela%20%26%20Irene%20Verasio%20at%20the%202014%20YOG%2001.jpg,Camila Hiruela & Irene Verasio at the 2014 YOG 01.jpg,Wikidata place of birth,False,MP000008,not_processed,,,,,,,,,,,,,,,,,,,,,,
Q5750328,http://www.wikidata.org/entity/Q5750328,Carlos Ferraro,Q6581097,masculino,1953-05-21T00:00:00Z,1953,Q44217,San Salvador de Jujuy,Q44764,Jujuy,Argentina,core_lower_confidence,http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20Ferraro.jpg,Carlos Ferraro.jpg,Wikidata place of birth,False,MP000009,not_processed,,,,,,,,,,,,,,,,,,,,,,
Q28867575,http://www.wikidata.org/entity/Q28867575,Carlos Haquim,Q6581097,masculino,1956-07-14T00:00:00Z,1956,Q44764,Provincia de Jujuy,Q44764,Jujuy,Argentina,core_lower_confidence,http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20Haquim.png,Carlos Haquim.png,Wikidata place of birth,False,MP000010,not_processed,,,,,,,,,,,,,,,,,,,,,,
Q118596781,http://www.wikidata.org/entity/Q118596781,Carlos Sadir,Q6581097,masculino,1958-09-24T00:00:00Z,1958,Q44217,San Salvador de Jujuy,Q44764,Jujuy,Argentina,core_lower_confidence,http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20Sadir.png,Carlos Sadir.png,Wikidata place of birth,False,MP000011,not_processed,,,,,,,,,,,,,,,,,,,,,,
Q72419224,http://www.wikidata.org/entity/Q72419224,Carlos Santillán,Q6581097,masculino,1951-02-14T00:00:00Z,1951,Q44217,San Salvador de Jujuy,Q44764,Jujuy,Argentina,core_lower_confidence,http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20%22Perro%22%20Santill%C3%A1n.png,"Carlos ""Perro"" Santillán.png",Wikidata place of birth,False,MP000012,not_processed,,,,,,,,,,,,,,,,,,,,,,
Q65013174,http://www.wikidata.org/entity/Q65013174,Cazzu,Q6581072,femenino,1993-12-16T00:00:00Z,1993,Q1923525,Fraile Pintado,Q44764,Jujuy,Argentina,core_lower_confidence,http://commons.wikimedia.org/wiki/Special:FilePath/Cazzu%20en%202019%202.jpg,Cazzu en 2019 2.jpg,Wikidata place of birth,False,MP000013,not_processed,,,,,,,,,,,,,,,,,,,,,,
